#step	w	sigma	tau	rho	neglogP	neglogP_Nterms	neglogP_Kterms
145	1.639451e+00	3.840095e-02	2.999112e-02	5.000000e-01	-3.121490e+03	-2.789937e+03	-3.315529e+02
146	1.684334e+00	3.892304e-02	2.999112e-02	5.000000e-01	-3.120652e+03	-2.788935e+03	-3.317166e+02
147	1.692873e+00	3.892304e-02	2.991538e-02	5.100000e-01	-3.120793e+03	-2.788905e+03	-3.318887e+02
148	1.650164e+00	3.892304e-02	3.030004e-02	5.000000e-01	-3.120074e+03	-2.789058e+03	-3.310160e+02
149	1.632964e+00	3.871965e-02	3.030004e-02	5.000000e-01	-3.120441e+03	-2.789487e+03	-3.309535e+02
150	1.652047e+00	3.894523e-02	3.030004e-02	4.900000e-01	-3.120031e+03	-2.789008e+03	-3.310227e+02
151	1.614373e+00	3.849862e-02	3.030004e-02	4.900000e-01	-3.120783e+03	-2.789898e+03	-3.308851e+02
152	1.605324e+00	3.839056e-02	3.030004e-02	5.000000e-01	-3.120929e+03	-2.790078e+03	-3.308514e+02
153	1.620781e+00	3.839056e-02	3.015520e-02	5.000000e-01	-3.121198e+03	-2.790020e+03	-3.311785e+02
154	1.605061e+00	3.839056e-02	3.030252e-02	4.900000e-01	-3.120924e+03	-2.790079e+03	-3.308458e+02
155	1.611434e+00	3.846671e-02	3.030252e-02	4.900000e-01	-3.120823e+03	-2.789954e+03	-3.308695e+02
156	1.619426e+00	3.856199e-02	3.030252e-02	4.800000e-01	-3.120686e+03	-2.789787e+03	-3.308992e+02
157	1.637198e+00	3.877300e-02	3.030252e-02	4.700000e-01	-3.120345e+03	-2.789380e+03	-3.309643e+02
158	1.628742e+00	3.877300e-02	3.038108e-02	4.800000e-01	-3.120198e+03	-2.789411e+03	-3.307867e+02
159	1.617619e+00	3.864038e-02	3.038108e-02	4.800000e-01	-3.120419e+03	-2.789673e+03	-3.307459e+02
160	1.628331e+00	3.864038e-02	3.028099e-02	4.800000e-01	-3.120606e+03	-2.789634e+03	-3.309721e+02
161	1.656045e+00	3.896781e-02	3.028099e-02	4.900000e-01	-3.120023e+03	-2.788950e+03	-3.310728e+02
162	1.692199e+00	3.939088e-02	3.028099e-02	5.000000e-01	-3.119087e+03	-2.787886e+03	-3.312009e+02
163	1.767378e+00	3.939088e-02	2.962996e-02	4.900000e-01	-3.120309e+03	-2.787625e+03	-3.326845e+02
164	1.765834e+00	3.939088e-02	2.964291e-02	4.900000e-01	-3.120285e+03	-2.787630e+03	-3.326549e+02
165	1.736123e+00	3.905810e-02	2.964291e-02	4.800000e-01	-3.121034e+03	-2.788482e+03	-3.325512e+02
166	1.847210e+00	3.905810e-02	2.873776e-02	4.800000e-01	-3.122718e+03	-2.788094e+03	-3.346237e+02
167	1.770406e+00	3.823749e-02	2.873776e-02	4.900000e-01	-3.123997e+03	-2.789646e+03	-3.343502e+02
168	1.834987e+00	3.892865e-02	2.873776e-02	5.000000e-01	-3.122973e+03	-2.788392e+03	-3.345811e+02
169	1.804281e+00	3.860157e-02	2.873776e-02	4.900000e-01	-3.123529e+03	-2.789057e+03	-3.344727e+02
170	1.817079e+00	3.860157e-02	2.863638e-02	5.000000e-01	-3.123716e+03	-2.789011e+03	-3.347050e+02
171	1.815203e+00	3.858164e-02	2.863638e-02	5.100000e-01	-3.123746e+03	-2.789048e+03	-3.346983e+02
172	1.812891e+00	3.855706e-02	2.863638e-02	5.100000e-01	-3.123782e+03	-2.789092e+03	-3.346900e+02
173	1.967183e+00	3.855706e-02	2.749043e-02	5.100000e-01	-3.125872e+03	-2.788547e+03	-3.373252e+02
174	1.976396e+00	3.864724e-02	2.749043e-02	5.200000e-01	-3.125739e+03	-2.788382e+03	-3.373573e+02
175	1.947659e+00	3.836524e-02	2.749043e-02	5.200000e-01	-3.126122e+03	-2.788866e+03	-3.372566e+02
176	2.000134e+00	3.836524e-02	2.712741e-02	5.300000e-01	-3.126774e+03	-2.788681e+03	-3.380933e+02
177	1.943152e+00	3.781480e-02	2.712741e-02	5.300000e-01	-3.127227e+03	-2.789338e+03	-3.378896e+02
178	1.969567e+00	3.807096e-02	2.712741e-02	5.400000e-01	-3.127065e+03	-2.789080e+03	-3.379850e+02
179	2.085646e+00	3.807096e-02	2.636171e-02	5.300000e-01	-3.128417e+03	-2.788669e+03	-3.397480e+02
180	2.055780e+00	3.779740e-02	2.636171e-02	5.300000e-01	-3.128581e+03	-2.788939e+03	-3.396420e+02
181	2.068544e+00	3.779740e-02	2.628025e-02	5.300000e-01	-3.128722e+03	-2.788893e+03	-3.398292e+02
182	2.111332e+00	3.818632e-02	2.628025e-02	5.400000e-01	-3.128461e+03	-2.788480e+03	-3.399803e+02
183	2.242731e+00	3.818632e-02	2.549876e-02	5.400000e-01	-3.129809e+03	-2.788027e+03	-3.417822e+02
184	2.222672e+00	3.801516e-02	2.549876e-02	5.300000e-01	-3.129944e+03	-2.788231e+03	-3.417131e+02
185	2.267489e+00	3.839651e-02	2.549876e-02	5.300000e-01	-3.129591e+03	-2.787725e+03	-3.418664e+02
186	2.323872e+00	3.839651e-02	2.518753e-02	5.200000e-01	-3.130120e+03	-2.787535e+03	-3.425847e+02
187	2.437992e+00	3.839651e-02	2.459097e-02	5.300000e-01	-3.131114e+03	-2.787155e+03	-3.439590e+02
188	2.430983e+00	3.834127e-02	2.459097e-02	5.400000e-01	-3.131175e+03	-2.787239e+03	-3.439358e+02
189	2.367344e+00	3.783609e-02	2.459097e-02	5.300000e-01	-3.131551e+03	-2.787830e+03	-3.437210e+02
190	2.382967e+00	3.796073e-02	2.459097e-02	5.400000e-01	-3.131489e+03	-2.787715e+03	-3.437744e+02
191	2.312091e+00	3.739194e-02	2.459097e-02	5.300000e-01	-3.131599e+03	-2.788070e+03	-3.435284e+02
192	2.268232e+00	3.703559e-02	2.459097e-02	5.400000e-01	-3.131434e+03	-2.788063e+03	-3.433712e+02
193	2.297830e+00	3.727645e-02	2.459097e-02	5.300000e-01	-3.131565e+03	-2.788088e+03	-3.434777e+02
194	2.295951e+00	3.726120e-02	2.459097e-02	5.400000e-01	-3.131560e+03	-2.788089e+03	-3.434710e+02
195	2.268852e+00	3.726120e-02	2.473738e-02	5.300000e-01	-3.131324e+03	-2.788186e+03	-3.431382e+02
196	2.237925e+00	3.700638e-02	2.473738e-02	5.300000e-01	-3.131178e+03	-2.788151e+03	-3.430264e+02
197	2.260021e+00	3.718862e-02	2.473738e-02	5.300000e-01	-3.131292e+03	-2.788186e+03	-3.431065e+02
198	2.222608e+00	3.718862e-02	2.494472e-02	5.200000e-01	-3.130956e+03	-2.788321e+03	-3.426350e+02
199	2.195296e+00	3.695942e-02	2.494472e-02	5.200000e-01	-3.130806e+03	-2.788270e+03	-3.425354e+02
200	2.111601e+00	3.695942e-02	2.543427e-02	5.300000e-01	-3.130003e+03	-2.788580e+03	-3.414227e+02
201	2.249345e+00	3.695942e-02	2.464320e-02	5.200000e-01	-3.131291e+03	-2.788072e+03	-3.432190e+02
202	2.235119e+00	3.695942e-02	2.472150e-02	5.300000e-01	-3.131166e+03	-2.788124e+03	-3.430416e+02
203	2.273287e+00	3.727365e-02	2.472150e-02	5.300000e-01	-3.131354e+03	-2.788174e+03	-3.431798e+02
204	2.242374e+00	3.727365e-02	2.489132e-02	5.400000e-01	-3.131079e+03	-2.788285e+03	-3.427933e+02
205	2.366561e+00	3.727365e-02	2.422943e-02	5.500000e-01	-3.132139e+03	-2.787843e+03	-3.442965e+02
206	2.336935e+00	3.727365e-02	2.438253e-02	5.500000e-01	-3.131897e+03	-2.787948e+03	-3.439496e+02
207	2.382717e+00	3.727365e-02	2.414714e-02	5.400000e-01	-3.132268e+03	-2.787785e+03	-3.444827e+02
208	2.362656e+00	3.727365e-02	2.424944e-02	5.300000e-01	-3.132108e+03	-2.787856e+03	-3.442512e+02
209	2.513128e+00	3.727365e-02	2.351227e-02	5.300000e-01	-3.133242e+03	-2.787328e+03	-3.459136e+02
210	2.556053e+00	3.759063e-02	2.351227e-02	5.200000e-01	-3.133301e+03	-2.787240e+03	-3.460612e+02
211	2.584311e+00	3.779784e-02	2.351227e-02	5.200000e-01	-3.133264e+03	-2.787108e+03	-3.461568e+02
212	2.586420e+00	3.781326e-02	2.351227e-02	5.200000e-01	-3.133259e+03	-2.787095e+03	-3.461638e+02
213	2.591145e+00	3.781326e-02	2.349083e-02	5.100000e-01	-3.133292e+03	-2.787080e+03	-3.462123e+02
214	2.644486e+00	3.820049e-02	2.349083e-02	5.100000e-01	-3.133061e+03	-2.786672e+03	-3.463887e+02
215	2.610151e+00	3.820049e-02	2.364483e-02	5.100000e-01	-3.132823e+03	-2.786784e+03	-3.460388e+02
216	2.473562e+00	3.718754e-02	2.364483e-02	5.100000e-01	-3.133001e+03	-2.787426e+03	-3.455757e+02
217	2.538327e+00	3.767124e-02	2.364483e-02	5.100000e-01	-3.133092e+03	-2.787293e+03	-3.457993e+02
218	2.532967e+00	3.767124e-02	2.366983e-02	5.200000e-01	-3.133054e+03	-2.787311e+03	-3.457428e+02
219	2.591141e+00	3.810138e-02	2.366983e-02	5.300000e-01	-3.132863e+03	-2.786925e+03	-3.459376e+02
220	2.581809e+00	3.803271e-02	2.366983e-02	5.400000e-01	-3.132910e+03	-2.787003e+03	-3.459067e+02
221	2.546992e+00	3.777539e-02	2.366983e-02	5.400000e-01	-3.133030e+03	-2.787240e+03	-3.457902e+02
222	2.577341e+00	3.799978e-02	2.366983e-02	5.400000e-01	-3.132930e+03	-2.787038e+03	-3.458919e+02
223	2.351432e+00	3.799978e-02	2.478078e-02	5.500000e-01	-3.131155e+03	-2.787799e+03	-3.433561e+02
